,area,bedrooms,datetime,price,url,where,Latitude,Longitude,Price per Square Foot,recommended
1,601.0,1,2018-10-02 15:50,2295.0,https://newyork.craigslist.org/mnh/abo/d/back-on-market-true-large-1/6704199818.html,Lower East Side,40.71829,-73.982477,3.8186356073211316,1
2,601.0,1,2018-10-02 15:50,2350.0,https://newyork.craigslist.org/mnh/abo/d/back-on-market-true-large-1/6696564615.html,Lower East Side,40.719607,-73.985726,3.9101497504159735,1
4,750.0,1,2018-10-02 15:48,2750.0,https://newyork.craigslist.org/mnh/abo/d/west-of-3rd-private-patio/6688390384.html,Upper East Side,40.777545,-73.95701,3.6666666666666665,1
6,242.0,0,2018-10-02 15:43,2225.0,https://newyork.craigslist.org/mnh/abo/d/spacious-no-fee-studio/6713208100.html,Upper East Side,40.7651,-73.9638,9.194214876033058,1
8,242.0,2,2018-10-02 15:41,2495.0,https://newyork.craigslist.org/mnh/abo/d/west-49-10ave2-separate-bdrms/6702640600.html,Midtown West,40.7547,-73.9925,10.309917355371901,1
10,242.0,1,2018-10-02 15:27,3000.0,https://newyork.craigslist.org/mnh/nfb/d/luxury-1-br-great-natural/6713208573.html,Murray Hill,40.7375,-73.9813,12.396694214876034,1
11,242.0,0,2018-10-02 15:25,2595.0,https://newyork.craigslist.org/mnh/nfb/d/luxury-studio-tons-of-closets/6713207188.html,Murray Hill,40.7375,-73.9813,10.723140495867769,1
14,725.0,1,2018-10-02 15:09,2400.0,https://newyork.craigslist.org/mnh/abo/d/elevator-laundrypre/6705310800.html,Upper East Side,40.77202,-73.956015,3.310344827586207,1
17,242.0,0,2018-10-02 15:00,1700.0,https://newyork.craigslist.org/mnh/abo/d/1-bedroom/6713134644.html,East Harlem,40.7484,-73.9967,7.024793388429752,1
